标题,来源,时间,问题,回答
艺术类,hb*** (河北),2008-06-13 16:43,谢谢老师!刚才查了一下贵校在河北省工业设计的招生计划，有2名艺术理科名额.请老师核实后解疑.,我校2008年在河北省艺术类专业无工业设计招生计划。
问,fe***1 (黑龙江),2008-06-13 16:41,请介绍林大中外联合办学的日语专业的相关情况!,[培养目标、就业方向:本专业培养具有扎实的语言基本功、深厚的人文功底、高素质的、有积极进取的创新精神和实践能力，能在外事、外贸、外企、文教、新闻出版、科研、旅游等部门从事科研、教学、管理等工作的高级日语专门人才。主干课程:基础日语、高级日语、日语视听说、日语写作、日汉语翻译、日本概况、日本近代文学史和文学作品选读、日语词汇学、日语语法、外贸日语、日本经济、旅游日语、市场学、公共关系学、第二外语等。本专业文理兼招，学制4年，授予文学学士学位。咨询电话：0451-82190409
艺术类,hb*** (河北),2008-06-13 16:09,贵校在河北省录取工业设计是按专业成绩还是文化成绩或综合成绩?如按综合成绩如何计算?,我校艺术类专业无工业设计招生计划。
老师您好,wj***139 (黑龙江),2008-06-13 16:03,我是黑龙江考生，我想报贵校土木工程专业，估480分，有二表B该专业吗？学费多少？二表B和三表有什么区别？谢谢,招生计划及收费标准请查看黑龙江省招办编制的计划本144页。
黑龙江考生,yi***ong1 (黑龙江),2008-06-13 16:02,老师你好：我是理科生估分600，报二志愿有希望吗？是否有级差？请解答多谢！,非一志愿报考我校的考生，实行志愿级差，志愿级差为20分。是否招收二志愿要看一志愿录取情况，在录取前无法预测。
咨询,qi*** (河南),2008-06-13 15:47,二志愿报考贵校分数级差是多少?,非一志愿报考我校的考生，实行志愿级差，志愿级差为20分。
师范,qu*** (黑龙江),2008-06-13 15:47,我想问问那个没有师范证的专业，如果想考师范得咋考？,我校数学与应用数学专业为师范类。
您好。关于录取分数问题,qu*** (黑龙江),2008-06-13 15:30,510分能考试贵校吗？大概是二表还是联合办学？,很抱歉，在录取结束前无法预测录取结果。
ms,su***6060 (河南),2008-06-13 15:12,河南美术250，文科文化380有多大希望？录取规则是什么？限单科吗？,艺术类专业录取办法为：在省级招办投放的考生电子档案范围内，考生艺术类专业成绩达到所在省本科控制线（山东省考生取得我校专业考试合格资格），按考生文化成绩从高分到低分择优录取。无单科成绩限制。
wen,25*** (河南),2008-06-13 14:44,老师你好我是河南美术考生请问贵校录取原则,艺术类专业录取办法为：在省级招办投放的考生电子档案范围内，考生艺术类专业成绩达到所在省本科控制线，按考生文化成绩从高分到低分择优录取。
咨询分数线,br*** (河南),2008-06-13 14:36,如果贵校第一志愿报不满，会不会加20分为考生投档？,[对享受照顾政策的考生，由各省招办按教育部及省级招生委员会的相关规定投档，我校审查决定是否录取。学校在调阅考生档案时，承认符合下列加分条件考生的投档成绩：（1）高级中等教育阶段获得全国中学生学科奥林匹克竞赛省赛区一等奖或全国决赛一、二、三等奖者；（2）高级中等教育阶段获得全国青少年科技创新大赛（含全国青少年生物和环境科学实践活动）或“明天小小科学家”奖励活动或全国中小学电脑制作活动一、二等奖者；（3）高级中等教育阶段在国际科学与工程大奖赛或国际环境科研项目奥林匹克竞赛中获奖者。同一考生如符合上述多项加分条件，只取其中最高一项分值，加分不得超过20分。其它享受照顾政策考生在排定专业时均以高考实际成绩为准，高考成绩相当的情况下，优先录取政策照顾加分和相关科目分数高的考生。
咨询,ti*** (黑龙江),2008-06-13 10:46,你好，贵校重点学科是什么?谢谢,[一级学科国家重点学科林学：林木遗传育种森林培育森林保护学森林经理学野生动植物保护与利用园林植物与观赏园艺水土保持与荒漠化防治林业工程：森林工程木材科学与技术林产化学加工工程二级学科国家重点学科植物学生态学林木遗传育种森林培育森林经理学园林植物与观赏园艺林产化学加工工程林业经济管理省重点学科群林学生物质材料科学与技术省重点一级学科生物学林学林业工程农林经济管理省重点二级学科人口资源与环境经济学高分子化学与物理细胞生物学生物化学与分子生物学计算机应用技术林产化学加工工程生物材料工程林木遗传育种森林培育森林经理学园林植物与观赏园艺水土保持与荒漠化防治生药学企业管理会计学
请教,ha***14 (天津),2008-06-13 10:29,您好我是天津文科生估500多第一志愿报贵校被录取的希望大吗？,很抱歉，在高考录取结束前，无法预测2008年我校录取情况。建议您登陆东北林业大学招生信息网http://zhaosheng.nefu.edu.cn查询“历年资料”。
咨询,mj*** (黑龙江),2008-06-13 09:59,请问理科估分380（有侨属证）能否报贵校三表。,我校2008年在黑龙江省没有本科三批招生计划。
美术,ca*** (河南),2008-06-13 09:29,今年统考考了170，文化课考了537，今年还想报考你学校。能被录取吗？thankyou！,很抱歉，在高考录取结束前，无法预测2008年我校录取情况。建议您登陆东北林业大学招生信息网http://zhaosheng.nefu.edu.cn查询“历年资料”。
老师好,li***w1 (山西),2008-06-13 09:19,山西考生刚上一本线能上贵校吗。？文科,很抱歉，在高考录取结束前，无法预测2008年我校录取情况。建议您登陆东北林业大学招生信息网http://zhaosheng.nefu.edu.cn查询“历年资料”。
文科美术生,li*** (河南),2008-06-13 09:02,我是河南考生统考210文化520想报考贵校。有希望吗？,很抱歉，在高考录取结束前，无法预测2008年我校录取情况。建议您登陆东北林业大学招生信息网http://zhaosheng.nefu.edu.cn查询“历年资料”。
美术（理）,mi*** (河南),2008-06-12 16:41,今年美术专业212，文化估了443，有希望上贵校吗？,很抱歉，在高考录取结束前，无法预测2008年我校录取情况。建议您登陆东北林业大学招生信息网http://zhaosheng.nefu.edu.cn查询“历年资料”。
天津考生咨询,sa*** (天津),2008-06-12 16:30,我是天津理工类考生，天津今年一本线估计是520，我估分530，报贵校有希望吗,很抱歉，在高考录取结束前，无法预测2008年我校录取情况。建议您登陆东北林业大学招生信息网http://zhaosheng.nefu.edu.cn查询“历年资料”。
大庆考生,li*** (黑龙江),2008-06-12 14:32,我今年分在520.请问我二表报贵校把握大吗,很抱歉，在高考录取结束前，无法预测2008年我校录取情况。建议您登陆东北林业大学招生信息网http://zhaosheng.nefu.edu.cn查询“历年资料”。
问~,89*** (黑龙江),2008-06-12 14:31,老师吖我是黑龙江文科考生，请问我这次估490多能否上贵校的2表2市场营销呢。谢谢老师,很抱歉，在高考录取结束前，无法预测2008年我校录取情况。建议您登陆东北林业大学招生信息网http://zhaosheng.nefu.edu.cn查询“历年资料”。
艺术咨询,ka***di (河南),2008-06-12 13:59,老师您好，我是河南考生，本省艺术统考合格，文化分503.能被您校录取吗?,很抱歉，在高考录取结束前，无法预测2008年我校录取情况。建议您登陆东北林业大学招生信息网http://zhaosheng.nefu.edu.cn查询“历年资料”。
咨询,a1*** (河南),2008-06-12 13:30,请问你校是否有志愿级差谢谢!,[专业录取根据考生所报专业志愿先后次序进行，专业志愿级差为3分。所有专业志愿都无法满足的，如果服从专业调剂，将调剂到相应计划未满专业；如果不服从调剂，做退档处理。非一志愿报考我校的考生，实行志愿级差，志愿级差为20分。投档志愿为服从或调剂的考生，将调剂到相应计划未满专业。实行平行志愿投档的省份，学校按志愿清的方式确定考生的录取顺序，同一平行志愿间无志愿级差。
询问专业,sh***ng (黑龙江),2008-06-12 11:09,老师你好，我是黑龙江理科考生，估分610分，想报考土木工程专业，是否有希望录取，该专业毕业后是否可以直接考取贵校研究生，谢谢。,我校2007年黑龙江省土木工程专业录取最低分数线为593分，很抱歉，在高考录取结束前，无法预测2008年我校录取情况。毕业后可以直接考取我校研究生。
咨询,ta*** (天津),2008-06-12 11:01,请问贵校有哪些色弱限报专业?,[根据普通高等学校招生体检工作指导意见1、轻度色觉异常（俗称色弱）不能录取的专业：以颜色波长作为严格技术标准的化学类、化工与制药类、药学类、生物科学类、公安技术类、地质学类各专业，医学类各专业；生物工程、生物医学工程、动物医学、动物科学、野生动物与自然保护区管理、心理学、应用心理学、生态学、侦察学、特种能源工程与烟火技术、考古学、海洋科学、海洋技术、轮机工程、食品科学与工程、轻化工程、林产化工、农学、园艺、植物保护、茶学、林学、园林、蚕学、农业资源与环境、水产养殖学、海洋渔业科学与技术、材料化学、环境工程、高分子材料与工程、过程装备与控制工程、学前教育、特殊教育、体育教育、运动训练、运动人体科学、民族传统体育各专业。
刘辉,xi*** (河南),2008-06-12 10:54,老师好!我美术专业210，文化400左右，报考贵校有望么?,很抱歉，在高考录取结束前，无法预测2008年我校录取情况。建议您登陆东北林业大学招生信息网http://zhaosheng.nefu.edu.cn查询“历年资料”。
加分政策,ya***008 (河南),2008-06-13 14:30,请问贵校是否承认河南省关于农林院校加20分投档的政策？？？当生源不足时是否会降分录取？？？？,[对享受照顾政策的考生，由各省招办按教育部及省级招生委员会的相关规定投档，我校审查决定是否录取。学校在调阅考生档案时，承认符合下列加分条件考生的投档成绩：（1）高级中等教育阶段获得全国中学生学科奥林匹克竞赛省赛区一等奖或全国决赛一、二、三等奖者；（2）高级中等教育阶段获得全国青少年科技创新大赛（含全国青少年生物和环境科学实践活动）或“明天小小科学家”奖励活动或全国中小学电脑制作活动一、二等奖者；（3）高级中等教育阶段在国际科学与工程大奖赛或国际环境科研项目奥林匹克竞赛中获奖者。同一考生如符合上述多项加分条件，只取其中最高一项分值，加分不得超过20分。其它享受照顾政策考生在排定专业时均以高考实际成绩为准，高考成绩相当的情况下，优先录取政策照顾加分和相关科目分数高的考生。
